Month,Day,Hour,SGP_ARM_Fixed_Tilt,SGP_ARM_Single-Axis,SGP_ARM_Dual-Axis,SGP_ARM_Vertical_Bifacial,SGP_NSRDB_Fixed_Tilt,SGP_NSRDB_Single-Axis,SGP_NSRDB_Dual-Axis,SGP_NSRDB_Vertical_Bifacial
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,8.580656974277959,7.710517262992022,5.3162747148299525,8.769202211060604,132.00820663378937,143.5108643684796,307.05395302402064,155.6151561739053
1,1,9,39.629241082385924,36.65175185403603,30.33526124307115,40.56732713649446,460.4531192848937,476.6429562412917,705.2579974348338,487.8215295235765
1,1,10,81.3655723737255,74.27970392415193,71.01251525991611,80.85212338567578,48.38409766700711,44.62617356348408,39.13208962599642,48.40465928619924
1,1,11,126.6348218300115,126.32924776518571,116.48060088130308,117.67329747612924,89.00469439974697,92.14427167710379,78.74108791692495,85.08983129907661
1,1,12,129.69321340095962,140.86230861870757,119.84288371637103,116.19634305980671,97.53372330851393,110.35931932699495,87.70110732564152,90.59066729152123
1,1,13,151.92865435413913,150.94531597570713,141.94640028886792,133.59726144004438,104.27332066614026,108.26394637875822,93.62481742929877,96.21986291442049
1,1,14,149.67917166335755,133.17392785378362,141.49779710455354,135.60771777347892,120.70963981131527,108.16036883566466,109.92919661236503,109.95226874344091
1,1,15,84.85937399962414,79.58694346497386,77.2412137202893,83.32794373120049,87.64182596453473,82.07956894117741,79.36611123985806,84.17740788496592
1,1,16,24.64544206348765,23.199936671904073,18.548051722961446,24.84011514884195,348.19918954340716,374.1050297400519,693.7458855854751,279.75729953222475
1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,8,50.715491806038216,56.23492134366485,101.22820746700458,64.36484736408272,136.9426747986203,148.31692144388688,319.6271222868099,159.8466759529134
1,2,9,204.10045567649664,207.8624734237226,289.68286293909364,219.92621494479857,457.94438121469966,475.63432660536034,700.9685850794074,486.23970415642674
1,2,10,282.7394391597816,239.4398028327927,322.7323897457903,233.24222203921724,394.1088683273418,325.7323554449175,473.62569447793624,297.03599372913806
1,2,11,176.96618942130863,169.54570138101639,168.17827524924795,155.03307381561623,322.85317342223874,255.08201562976004,343.4274013212367,200.87615333016882
1,2,12,130.28437086766044,141.16369323729427,120.59972541532086,116.30757233521221,248.69100575658013,215.62059031055043,250.47436960711957,145.39388248769876
1,2,13,88.03233271940557,92.36072422558036,78.93110442863555,84.68031022759835,193.37685522297775,181.45132959284686,185.92297063416387,147.89563942419846
1,2,14,56.48186887832262,52.01803540437044,47.41499629602535,57.121427043469716,93.39355675299149,84.33422146622041,82.78476398331082,87.14042692694335
